Bot_name,Bot_id,Current_pairs
MOM D USDT,1345325,"['USDT_BNT', 'USDT_KAVA', 'USDT_OCEAN', 'USDT_OGN', 'USDT_OMG', 'USDT_QTUM', 'USDT_SRM', 'USDT_TOMO', 'USDT_YFI', 'USDT_ZIL', 'USDT_IOTX', 'USDT_CELR', 'USDT_SOL', 'USDT_REP', 'USDT_RLC', 'USDT_SC']"
MOM X USDT,1345156,"['USDT_ZIL', 'USDT_BAT', 'USDT_IOST', 'USDT_KNC', 'USDT_SXP', 'USDT_ATOM', 'USDT_ZRX', 'USDT_LINK', 'USDT_SNX', 'USDT_ALGO', 'USDT_OMG', 'USDT_SOL', 'USDT_JST', 'USDT_BEAM', 'USDT_LEND', 'USDT_BAND', 'USDT_ANKR', 'USDT_ARPA', 'USDT_ANT', 'USDT_BTS', 'USDT_BLZ', 'USDT_DOGE', 'USDT_FET', 'USDT_REN']"
PRIMO USDT,1345151,"['USDT_XTZ', 'USDT_LTC', 'USDT_ETC', 'USDT_ETH', 'USDT_NEO', 'USDT_ZEC', 'USDT_EOS', 'USDT_BCH']"
MOM X BTC,1342042,"['BTC_ALGO', 'BTC_AMB', 'BTC_ANKR', 'BTC_BAND', 'BTC_LRC', 'BTC_LTO', 'BTC_OAX', 'BTC_QTUM', 'BTC_REN', 'BTC_REQ', 'BTC_SNX', 'BTC_STRAT', 'BTC_ZEN', 'BTC_KAVA', 'BTC_MANA', 'BTC_AION', 'BTC_KNC', 'BTC_MITH', 'BTC_ARPA', 'BTC_CHR', 'BTC_HBAR', 'BTC_LINK', 'BTC_REP', 'BTC_SRM', 'BTC_BTS', 'BTC_IRIS', 'BTC_CDT', 'BTC_CHZ', 'BTC_OMG', 'BTC_ENG']"
MOM M USDT,1326150,"['USDT_ZIL', 'USDT_BAT', 'USDT_IOST', 'USDT_KNC', 'USDT_SXP', 'USDT_ATOM', 'USDT_ZRX', 'USDT_LINK', 'USDT_SNX', 'USDT_ALGO', 'USDT_OMG', 'USDT_SOL', 'USDT_JST', 'USDT_BEAM', 'USDT_LEND', 'USDT_BAND', 'USDT_ANKR', 'USDT_ARPA', 'USDT_ANT', 'USDT_BTS', 'USDT_BLZ', 'USDT_DOGE', 'USDT_FET', 'USDT_REN', 'USDT_YFI', 'USDT_WAN', 'USDT_ICX', 'USDT_MATIC', 'USDT_ONT', 'USDT_STRAT']"
MOM W USDT,1320045,"['USDT_BAND', 'USDT_ZIL', 'USDT_BAT', 'USDT_ANKR', 'USDT_LINK', 'USDT_ADA', 'USDT_HBAR', 'USDT_SXP', 'USDT_WAVES', 'USDT_ALGO', 'USDT_SRM', 'USDT_ATOM', 'USDT_REN', 'USDT_OMG', 'USDT_ZRX', 'USDT_FET', 'USDT_QTUM', 'USDT_LEND', 'USDT_JST', 'USDT_BEAM', 'USDT_OCEAN', 'USDT_SNX', 'USDT_YFI', 'USDT_WAN', 'USDT_ICX', 'USDT_ONT', 'USDT_STRAT']"
MOM M BTC,1286401,"['BTC_ALGO', 'BTC_AMB', 'BTC_ANKR', 'BTC_BAND', 'BTC_LRC', 'BTC_LTO', 'BTC_OAX', 'BTC_QTUM', 'BTC_REN', 'BTC_REQ', 'BTC_SNX', 'BTC_STRAT', 'BTC_ZEN', 'BTC_KAVA', 'BTC_MANA', 'BTC_AION', 'BTC_KNC', 'BTC_MITH', 'BTC_ARPA', 'BTC_CHR', 'BTC_HBAR', 'BTC_LINK', 'BTC_REP', 'BTC_SRM', 'BTC_BTS', 'BTC_IRIS', 'BTC_CDT', 'BTC_CHZ', 'BTC_OMG', 'BTC_ENG', 'BTC_YFI']"
MOM D ETH,1156051,"['ETH_MANA', 'ETH_NULS', 'ETH_ONT', 'ETH_QLC', 'ETH_STRAT', 'ETH_SC', 'ETH_BAT']"
PRIMO GBP,1155956,"['GBP_BNB', 'GBP_BTC', 'GBP_ETH']"
MOM W BTC,1150693,"['BTC_AMB', 'BTC_ANKR', 'BTC_BAND', 'BTC_BLZ', 'BTC_BNT', 'BTC_CHR', 'BTC_HBAR', 'BTC_LINK', 'BTC_OAX', 'BTC_REN', 'BTC_SNX', 'BTC_SOL', 'BTC_ZIL', 'BTC_IRIS', 'BTC_SRM', 'BTC_FTM', 'BTC_ENG', 'BTC_WAVES', 'BTC_YFI', 'BTC_COTI', 'BTC_OCEAN']"
LONG MINORS BNB,1087529,"['BNB_BTT', 'BNB_COS', 'BNB_ERD', 'BNB_FET', 'BNB_HBAR', 'BNB_HOT', 'BNB_MBL', 'BNB_MDT', 'BNB_MITH', 'BNB_ONE', 'BNB_SC', 'BNB_STMX', 'BNB_TROY', 'BNB_VET', 'BNB_WRX', 'BNB_FIO', 'BNB_AVA']"
MOM D,1058464,"['BTC_BAT', 'BTC_GVT', 'BTC_KMD', 'BTC_MATIC', 'BTC_NANO', 'BTC_OGN', 'BTC_ONT', 'BTC_STRAT', 'BTC_THETA', 'BTC_TOMO', 'BTC_WAVES', 'BTC_WRX', 'BTC_WTC', 'BTC_XZC', 'BTC_CDT', 'BTC_ARPA']"
ACC P,1021150,"['USDT_BTC', 'USDT_ETH', 'USDT_BNB']"
